Type,Address,Value
R,0x103c,
W,0x1058,9055
R,0x1060,
R,0x1058,
W,0x1058,12380
R,0x1064,
R,0x1074,
W,0x1058,14830
R,0x1068,
R,0x1090,
W,0x1058,15570
R,0x106c,
R,0x10ac,
W,0x1058,16410
W,0x105c,0
R,0x1054,
R,0x1008,
W,0x105c,837
R,0x1058,
R,0x1024,
W,0x105c,2167
R,0x105c,
R,0x1040,
W,0x105c,2855
R,0x1060,
R,0x105c,
W,0x105c,3135
R,0x1064,
R,0x1078,
W,0x105c,5487
R,0x1068,
R,0x1094,
W,0x105c,6227
R,0x106c,
R,0x10b0,
W,0x105c,10987
W,0x1060,0
R,0x1054,
R,0x100c,
W,0x1060,810
R,0x1058,
R,0x1028,
W,0x1060,2995
R,0x105c,
R,0x1044,
W,0x1060,3419
R,0x1060,
R,0x1060,
W,0x1060,4644
R,0x1064,
R,0x107c,
W,0x1060,4742
R,0x1068,
R,0x1098,
W,0x1060,8812
R,0x106c,
R,0x10b4,
W,0x1060,15742
W,0x1064,0
R,0x1054,
R,0x1010,
W,0x1064,414
R,0x1058,
R,0x102c,
W,0x1064,9819
R,0x105c,
R,0x1048,
W,0x1064,10403
R,0x1060,
R,0x1064,
W,0x1064,12118
R,0x1064,
R,0x1080,
W,0x1064,15646
R,0x1068,
R,0x109c,
W,0x1064,18088
R,0x106c,
R,0x10b8,
W,0x1064,24948
W,0x1068,0
R,0x1054,
R,0x1014,
W,0x1068,504
R,0x1058,
R,0x1030,
W,0x1068,9149
R,0x105c,
R,0x104c,
W,0x1068,9453
R,0x1060,
R,0x1068,
W,0x1068,12043
R,0x1064,
R,0x1084,
W,0x1068,16747
R,0x1068,
R,0x10a0,
W,0x1068,19633
R,0x106c,
R,0x10bc,
W,0x1068,26213
W,0x106c,0
R,0x1054,
R,0x1018,
W,0x106c,873
R,0x1058,
R,0x1034,
W,0x106c,1633
R,0x105c,
R,0x1050,
W,0x106c,2377
R,0x1060,
R,0x106c,
W,0x106c,4827
R,0x1064,
R,0x1088,
W,0x106c,5660
R,0x1068,
R,0x10a4,
W,0x106c,8398
R,0x106c,
R,0x10c0,
W,0x106c,11268
W,0x1070,0
R,0x1070,
R,0x1000,
W,0x1070,104
R,0x1074,
R,0x101c,
W,0x1070,4504
R,0x1078,
R,0x1038,
W,0x1070,9064
R,0x107c,
R,0x1054,
W,0x1070,9082
R,0x1080,
R,0x1070,
W,0x1070,9658
R,0x1084,
R,0x108c,
W,0x1070,16858
R,0x1088,
R,0x10a8,
W,0x1070,18422
W,0x1074,0
R,0x1070,
R,0x1004,
W,0x1074,640
R,0x1074,
R,0x1020,
W,0x1074,4690
R,0x1078,
R,0x103c,
W,0x1074,8530
R,0x107c,
R,0x1058,
W,0x1074,8720
R,0x1080,
R,0x1074,
W,0x1074,12320
R,0x1084,
R,0x1090,
W,0x1074,13280
R,0x1088,
R,0x10ac,
W,0x1074,13484
W,0x1078,0
R,0x1070,
R,0x1008,
W,0x1078,744
R,0x1074,
R,0x1024,
W,0x1078,1444
R,0x1078,
R,0x1040,
W,0x1078,5572
R,0x107c,
R,0x105c,
W,0x1078,5588
R,0x1080,
R,0x1078,
W,0x1078,9044
R,0x1084,
R,0x1094,
W,0x1078,10004
R,0x1088,
R,0x10b0,
W,0x1078,11160
W,0x107c,0
R,0x1070,
R,0x100c,
W,0x107c,720
R,0x1074,
R,0x1028,
W,0x107c,1870
R,0x1078,
R,0x1044,
W,0x107c,4414
R,0x107c,
R,0x1060,
W,0x107c,4484
R,0x1080,
R,0x107c,
W,0x107c,4628
R,0x1084,
R,0x1098,
W,0x107c,9908
R,0x1088,
R,0x10b4,
W,0x107c,11591
W,0x1080,0
R,0x1070,
R,0x1010,
W,0x1080,368
R,0x1074,
R,0x102c,
W,0x1080,5318
R,0x1078,
R,0x1048,
W,0x1080,8822
R,0x107c,
R,0x1064,
W,0x1080,8920
R,0x1080,
R,0x1080,
W,0x1080,14104
R,0x1084,
R,0x109c,
W,0x1080,17272
R,0x1088,
R,0x10b8,
W,0x1080,18938
W,0x1084,0
R,0x1070,
R,0x1014,
W,0x1084,448
R,0x1074,
R,0x1030,
W,0x1084,4998
R,0x1078,
R,0x104c,
W,0x1084,6822
R,0x107c,
R,0x1068,
W,0x1084,6970
R,0x1080,
R,0x1084,
W,0x1084,13882
R,0x1084,
R,0x10a0,
W,0x1084,17626
R,0x1088,
R,0x10bc,
W,0x1084,19224
W,0x1088,0
R,0x1070,
R,0x1018,
W,0x1088,776
R,0x1074,
R,0x1034,
W,0x1088,1176
R,0x1078,
R,0x1050,
W,0x1088,5640
R,0x107c,
R,0x106c,
W,0x1088,5780
R,0x1080,
R,0x1088,
W,0x1088,7004
R,0x1084,
R,0x10a4,
W,0x1088,10556
R,0x1088,
R,0x10c0,
W,0x1088,11253
W,0x108c,0
R,0x108c,
R,0x1000,
W,0x108c,975
R,0x1090,
R,0x101c,
W,0x108c,1855
R,0x1094,
R,0x1038,
W,0x108c,2805
R,0x1098,
R,0x1054,
W,0x108c,3300
R,0x109c,
R,0x1070,
W,0x108c,3564
R,0x10a0,
R,0x108c,
W,0x108c,6489
R,0x10a4,
R,0x10a8,
W,0x108c,9893
W,0x1090,0
R,0x108c,
R,0x1004,
W,0x1090,6000
R,0x1090,
R,0x1020,
W,0x1090,6810
R,0x1094,
R,0x103c,
W,0x1090,7610
R,0x1098,
R,0x1058,
W,0x1090,12835
R,0x109c,
R,0x1074,
W,0x1090,14485
R,0x10a0,
R,0x1090,
W,0x1090,14875
R,0x10a4,
R,0x10ac,
W,0x1090,15319
W,0x1094,0
R,0x108c,
R,0x1008,
W,0x1094,6975
R,0x1090,
R,0x1024,
W,0x1094,7115
R,0x1094,
R,0x1040,
W,0x1094,7975
R,0x1098,
R,0x105c,
W,0x1094,8415
R,0x109c,
R,0x1078,
W,0x1094,9999
R,0x10a0,
R,0x1094,
W,0x1094,10389
R,0x10a4,
R,0x10b0,
W,0x1094,12905
W,0x1098,0
R,0x108c,
R,0x100c,
W,0x1098,6750
R,0x1090,
R,0x1028,
W,0x1098,6980
R,0x1094,
R,0x1044,
W,0x1098,7510
R,0x1098,
R,0x1060,
W,0x1098,9435
R,0x109c,
R,0x107c,
W,0x1098,9501
R,0x10a0,
R,0x1098,
W,0x1098,11646
R,0x10a4,
R,0x10b4,
W,0x1098,15309
W,0x109c,0
R,0x108c,
R,0x1010,
W,0x109c,3450
R,0x1090,
R,0x102c,
W,0x109c,4440
R,0x1094,
R,0x1048,
W,0x109c,5170
R,0x1098,
R,0x1064,
W,0x109c,7865
R,0x109c,
R,0x1080,
W,0x109c,10241
R,0x10a0,
R,0x109c,
W,0x109c,11528
R,0x10a4,
R,0x10b8,
W,0x109c,15154
W,0x10a0,0
R,0x108c,
R,0x1014,
W,0x10a0,4200
R,0x1090,
R,0x1030,
W,0x10a0,5110
R,0x1094,
R,0x104c,
W,0x10a0,5490
R,0x1098,
R,0x1068,
W,0x10a0,9560
R,0x109c,
R,0x1084,
W,0x10a0,12728
R,0x10a0,
R,0x10a0,
W,0x10a0,14249
R,0x10a4,
R,0x10bc,
W,0x10a0,17727
W,0x10a4,0
R,0x108c,
R,0x1018,
W,0x10a4,7275
R,0x1090,
R,0x1034,
W,0x10a4,7355
R,0x1094,
R,0x1050,
W,0x10a4,8285
R,0x1098,
R,0x106c,
W,0x10a4,12135
R,0x109c,
R,0x1088,
W,0x10a4,12696
R,0x10a0,
R,0x10a4,
W,0x10a4,14139
R,0x10a4,
R,0x10c0,
W,0x10a4,15656
W,0x10a8,0
R,0x10a8,
R,0x1000,
W,0x10a8,1196
R,0x10ac,
R,0x101c,
W,0x10a8,2252
R,0x10b0,
R,0x1038,
W,0x10a8,8712
R,0x10b4,
R,0x1054,
W,0x10a8,9603
R,0x10b8,
R,0x1070,
W,0x10a8,10387
R,0x10bc,
R,0x108c,
W,0x10a8,17437
R,0x10c0,
R,0x10a8,
W,0x10a8,21209
W,0x10ac,0
R,0x10a8,
R,0x1004,
W,0x10ac,7360
R,0x10ac,
R,0x1020,
W,0x10ac,8332
R,0x10b0,
R,0x103c,
W,0x10ac,13772
R,0x10b4,
R,0x1058,
W,0x10ac,23177
R,0x10b8,
R,0x1074,
W,0x10ac,28077
R,0x10bc,
R,0x1090,
W,0x10ac,29017
R,0x10c0,
R,0x10ac,
W,0x10ac,29509
W,0x10b0,0
R,0x10a8,
R,0x1008,
W,0x10b0,8556
R,0x10ac,
R,0x1024,
W,0x10b0,8724
R,0x10b0,
R,0x1040,
W,0x10b0,14572
R,0x10b4,
